Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-24 00:00:00+00:00,0.9040769934654236,0.9193459749221802,0.8505100011825562,0.8644959926605225,323693149,0.0,0.0
2025-08-25 00:00:00+00:00,0.8644970059394836,0.891933023929596,0.7602739930152893,0.7778580188751221,359978785,0.0,0.0
2025-08-26 00:00:00+00:00,0.7778580188751221,0.8162519931793213,0.7697629928588867,0.8125659823417664,223639927,0.0,0.0
2025-08-27 00:00:00+00:00,0.8125659823417664,0.8382570147514343,0.8052409887313843,0.8168910145759583,239919452,0.0,0.0
2025-08-28 00:00:00+00:00,0.8169209957122803,0.8529729843139648,0.8139550089836121,0.8516219854354858,179603085,0.0,0.0
2025-08-29 00:00:00+00:00,0.8516380190849304,0.8543069958686829,0.7743909955024719,0.7936090230941772,282045304,0.0,0.0
2025-08-30 00:00:00+00:00,0.7936090230941772,0.8155140280723572,0.7816879749298096,0.8061370253562927,111872360,0.0,0.0
2025-08-31 00:00:00+00:00,0.8061370253562927,0.815097987651825,0.7849889993667603,0.7849889993667603,97865693,0.0,0.0
2025-09-01 00:00:00+00:00,0.7849889993667603,0.8061349987983704,0.7344589829444885,0.7586169838905334,209646257,0.0,0.0
2025-09-02 00:00:00+00:00,0.758637011051178,0.8205249905586243,0.7523279786109924,0.8188629746437073,199017710,0.0,0.0
2025-09-03 00:00:00+00:00,0.8188629746437073,0.8244760036468506,0.7943950295448303,0.8165180087089539,150683561,0.0,0.0
2025-09-04 00:00:00+00:00,0.8165180087089539,0.8250839710235596,0.7754899859428406,0.7841579914093018,140882416,0.0,0.0
2025-09-05 00:00:00+00:00,0.7841579914093018,0.8272429704666138,0.7838280200958252,0.8189759850502014,210379580,0.0,0.0
2025-09-06 00:00:00+00:00,0.8189759850502014,0.8228660225868225,0.799481987953186,0.8153709769248962,100566714,0.0,0.0
2025-09-07 00:00:00+00:00,0.8153709769248962,0.8387690186500549,0.8149960041046143,0.8321260213851929,147964807,0.0,0.0
2025-09-08 00:00:00+00:00,0.8321459889411926,0.8739439845085144,0.8256409764289856,0.8703460097312927,229920731,0.0,0.0
2025-09-09 00:00:00+00:00,0.8703460097312927,0.903564989566803,0.8550209999084473,0.874904990196228,304916106,0.0,0.0
2025-09-10 00:00:00+00:00,0.874904990196228,0.9064279794692993,0.8678889870643616,0.8949369788169861,204778223,0.0,0.0
2025-09-11 00:00:00+00:00,0.8949530124664307,0.9082790017127991,0.8763430118560791,0.9082769751548767,159167453,0.0,0.0
2025-09-12 00:00:00+00:00,0.9082769751548767,0.9579610228538513,0.8939679861068726,0.9511610269546509,273583874,0.0,0.0
2025-09-13 00:00:00+00:00,0.9511610269546509,0.9883419871330261,0.946744978427887,0.9766970276832581,295475714,0.0,0.0
2025-09-14 00:00:00+00:00,0.9766970276832581,0.9790930151939392,0.9153119921684265,0.9297450184822083,198474775,0.0,0.0
2025-09-15 00:00:00+00:00,0.9297450184822083,0.9387329816818237,0.861158013343811,0.8796179890632629,239443453,0.0,0.0
2025-09-16 00:00:00+00:00,0.8796179890632629,0.9683070182800293,0.8724439740180969,0.961887001991272,219510911,0.0,0.0
2025-09-17 00:00:00+00:00,0.9618980288505554,0.9679679870605469,0.9047060012817383,0.9612039923667908,360240760,0.0,0.0
