Datetime,Open,High,Low,Close,Volume
2026-06-24 00:00:00+00:00,1664.9100341796875,1677.4000244140625,1656.0,1664.5999755859375,1208251392
2026-06-24 04:00:00+00:00,1664.719970703125,1676.8699951171875,1656.0899658203125,1670.6500244140625,47712256
2026-06-24 08:00:00+00:00,1671.02001953125,1687.02001953125,1653.5699462890625,1676.8800048828125,23608320
2026-06-24 12:00:00+00:00,1677.199951171875,1678.75,1614.699951171875,1616.4100341796875,1282267136
2026-06-24 16:00:00+00:00,1614.9599609375,1633.18994140625,1551.5899658203125,1581.6300048828125,3709193216
2026-06-24 20:00:00+00:00,1581.949951171875,1625.3800048828125,1577.300048828125,1619.719970703125,1220698112
2026-06-25 00:00:00+00:00,1620.1500244140625,1623.5999755859375,1612.3199462890625,1616.8900146484375,462244864
2026-06-25 04:00:00+00:00,1617.1300048828125,1657.0899658203125,1614.489990234375,1654.56005859375,1558076416
2026-06-25 08:00:00+00:00,1654.8299560546875,1656.1800537109375,1625.6800537109375,1630.6700439453125,668747776
2026-06-25 12:00:00+00:00,1630.72998046875,1645.800048828125,1530.6800537109375,1567.0,2857205760
2026-06-25 16:00:00+00:00,1568.06005859375,1584.68994140625,1552.6400146484375,1556.0799560546875,0
2026-06-25 20:00:00+00:00,1558.050048828125,1580.719970703125,1554.1500244140625,1564.8599853515625,159905792
2026-06-26 00:00:00+00:00,1565.4599609375,1569.18994140625,1510.0,1555.449951171875,1659588608
2026-06-26 04:00:00+00:00,1555.300048828125,1583.6199951171875,1541.7900390625,1578.780029296875,1575050240
2026-06-26 08:00:00+00:00,1578.8800048828125,1579.949951171875,1539.0899658203125,1543.0799560546875,660111360
2026-06-26 12:00:00+00:00,1543.2099609375,1585.550048828125,1520.4599609375,1578.0,662435840
2026-06-26 16:00:00+00:00,1578.6099853515625,1589.6099853515625,1567.699951171875,1574.4000244140625,112272384
2026-06-26 20:00:00+00:00,1573.4300537109375,1580.6700439453125,1565.6199951171875,1576.27001953125,429795328
2026-06-27 00:00:00+00:00,1576.4599609375,1584.25,1569.2099609375,1578.25,0
2026-06-27 04:00:00+00:00,1578.3299560546875,1583.989990234375,1572.8199462890625,1583.1400146484375,0
2026-06-27 08:00:00+00:00,1583.3399658203125,1583.3399658203125,1576.699951171875,1581.4200439453125,0
2026-06-27 12:00:00+00:00,1581.2099609375,1608.030029296875,1578.969970703125,1603.0999755859375,0
2026-06-27 16:00:00+00:00,1603.0899658203125,1604.68994140625,1570.969970703125,1575.780029296875,0
2026-06-27 20:00:00+00:00,1575.8599853515625,1582.4599609375,1562.0899658203125,1571.5999755859375,162677248
2026-06-28 00:00:00+00:00,1571.5899658203125,1577.52001953125,1567.31005859375,1572.7900390625,53413376
2026-06-28 04:00:00+00:00,1572.7099609375,1575.0,1560.510009765625,1573.739990234375,130020864
2026-06-28 08:00:00+00:00,1573.5699462890625,1583.3800048828125,1570.5999755859375,1580.550048828125,222828544
2026-06-28 12:00:00+00:00,1580.5400390625,1585.0799560546875,1572.760009765625,1578.550048828125,78618112
2026-06-28 16:00:00+00:00,1578.68994140625,1579.5699462890625,1554.75,1562.4200439453125,498505216
2026-06-28 20:00:00+00:00,1561.8699951171875,1579.2099609375,1546.030029296875,1569.4000244140625,634657280
2026-06-29 00:00:00+00:00,1569.510009765625,1585.6400146484375,1548.280029296875,1582.030029296875,1199207936
2026-06-29 04:00:00+00:00,1582.1099853515625,1585.9000244140625,1559.8800048828125,1577.8499755859375,807995392
2026-06-29 08:00:00+00:00,1577.75,1584.22998046875,1567.4200439453125,1572.7099609375,361069568
2026-06-29 12:00:00+00:00,1573.0999755859375,1594.25,1555.1400146484375,1577.550048828125,2592173568
2026-06-29 16:00:00+00:00,1577.719970703125,1633.5899658203125,1571.1600341796875,1622.9100341796875,1888224256
2026-06-29 20:00:00+00:00,1623.5400390625,1623.9200439453125,1605.530029296875,1610.72998046875,565065728
2026-06-30 00:00:00+00:00,1610.18994140625,1611.8499755859375,1583.9000244140625,1584.3199462890625,198974464
2026-06-30 04:00:00+00:00,1584.0799560546875,1593.1800537109375,1576.8900146484375,1589.75,209717248
2026-06-30 08:00:00+00:00,1589.75,1591.8499755859375,1573.469970703125,1575.739990234375,809527296
2026-06-30 12:00:00+00:00,1575.719970703125,1575.719970703125,1548.1800537109375,1562.1700439453125,243802112
2026-06-30 16:00:00+00:00,1562.0799560546875,1578.8399658203125,1559.260009765625,1578.0999755859375,69448704
2026-06-30 20:00:00+00:00,1576.989990234375,1580.27001953125,1563.4100341796875,1569.489990234375,0
2026-07-01 00:00:00+00:00,1569.6099853515625,1595.6199951171875,1550.8900146484375,1592.2900390625,668874752
2026-07-01 04:00:00+00:00,1591.9300537109375,1600.68994140625,1569.18994140625,1576.1800537109375,698168320
2026-07-01 08:00:00+00:00,1575.5,1582.8699951171875,1565.239990234375,1567.72998046875,25428992
2026-07-01 12:00:00+00:00,1568.719970703125,1629.050048828125,1563.8499755859375,1618.760009765625,645197824
2026-07-01 16:00:00+00:00,1618.6199951171875,1625.0699462890625,1605.5400390625,1616.0,584224768
2026-07-01 20:00:00+00:00,1616.0999755859375,1642.9599609375,1606.5699462890625,1607.6400146484375,853237760
2026-07-02 00:00:00+00:00,1607.52001953125,1640.0,1595.280029296875,1637.550048828125,568331264
2026-07-02 04:00:00+00:00,1637.5999755859375,1637.9200439453125,1612.3199462890625,1613.8299560546875,395496448
2026-07-02 08:00:00+00:00,1613.9200439453125,1652.4200439453125,1612.9599609375,1648.6400146484375,1306955776
2026-07-02 12:00:00+00:00,1647.8299560546875,1721.2099609375,1645.8299560546875,1695.0999755859375,2162108416
2026-07-02 16:00:00+00:00,1695.199951171875,1705.8299560546875,1685.1300048828125,1698.8800048828125,692260864
2026-07-02 20:00:00+00:00,1699.1099853515625,1705.010009765625,1690.22998046875,1698.43994140625,447757312
2026-07-03 00:00:00+00:00,1698.3699951171875,1715.8399658203125,1692.8499755859375,1704.3199462890625,699851776
2026-07-03 04:00:00+00:00,1704.6300048828125,1720.0699462890625,1700.449951171875,1715.97998046875,225564672
2026-07-03 08:00:00+00:00,1715.8900146484375,1747.0,1713.8599853515625,1740.510009765625,64498688
2026-07-03 12:00:00+00:00,1740.739990234375,1750.0,1727.199951171875,1729.43994140625,0
2026-07-03 16:00:00+00:00,1729.4100341796875,1751.5999755859375,1726.1800537109375,1743.5,370963456
2026-07-03 20:00:00+00:00,1743.699951171875,1772.800048828125,1741.9100341796875,1757.1099853515625,738870272
2026-07-04 00:00:00+00:00,1756.050048828125,1762.1099853515625,1742.6300048828125,1752.1099853515625,31584256
2026-07-04 04:00:00+00:00,1752.0999755859375,1762.5,1749.8399658203125,1756.8399658203125,581827584
2026-07-04 08:00:00+00:00,1757.0,1763.800048828125,1753.4000244140625,1756.6300048828125,198456320
2026-07-04 12:00:00+00:00,1756.6300048828125,1795.93994140625,1756.6300048828125,1789.719970703125,883779072
2026-07-04 16:00:00+00:00,1789.9599609375,1804.77001953125,1777.5400390625,1791.300048828125,1089652736
2026-07-04 20:00:00+00:00,1791.199951171875,1794.449951171875,1771.510009765625,1779.0699462890625,169047552
2026-07-05 00:00:00+00:00,1779.199951171875,1779.2900390625,1755.6600341796875,1759.969970703125,388101120
2026-07-05 04:00:00+00:00,1759.9000244140625,1770.6700439453125,1758.6099853515625,1768.3599853515625,1229753856
2026-07-05 08:00:00+00:00,1768.239990234375,1771.0,1749.0,1758.5999755859375,2923623424
2026-07-05 12:00:00+00:00,1758.25,1777.469970703125,1754.5999755859375,1773.0799560546875,23083008
2026-07-05 16:00:00+00:00,1772.97998046875,1784.43994140625,1768.81005859375,1779.760009765625,51390464
2026-07-05 20:00:00+00:00,1779.56005859375,1805.47998046875,1767.9100341796875,1784.199951171875,1200394240
2026-07-06 00:00:00+00:00,1784.3499755859375,1797.5,1771.0999755859375,1778.0699462890625,285546496
2026-07-06 04:00:00+00:00,1777.699951171875,1782.800048828125,1763.5,1770.4200439453125,0
2026-07-06 08:00:00+00:00,1770.43994140625,1776.7900390625,1754.0799560546875,1757.6300048828125,96863232
2026-07-06 12:00:00+00:00,1757.699951171875,1787.780029296875,1728.4300537109375,1787.25,6387263488
2026-07-06 16:00:00+00:00,1788.27001953125,1803.8900146484375,1781.699951171875,1791.0,2523116544
