Datetime,Open,High,Low,Close,Volume
2026-06-26 00:00:00+00:00,59709.78125,60022.01171875,58251.0,59945.390625,3100393472
2026-06-26 04:00:00+00:00,59930.51953125,60641.96875,59617.96875,60432.1015625,3178532864
2026-06-26 08:00:00+00:00,60431.94140625,60461.98046875,59149.48046875,59321.6796875,1910902784
2026-06-26 12:00:00+00:00,59328.01953125,60408.03125,58550.0,60234.01171875,781398016
2026-06-26 16:00:00+00:00,60226.921875,60463.98828125,59473.390625,59716.0,542912512
2026-06-26 20:00:00+00:00,59700.30078125,60025.73046875,59491.48046875,59999.28125,678498304
2026-06-27 00:00:00+00:00,60011.08984375,60309.58984375,59790.01171875,60205.5,0
2026-06-27 04:00:00+00:00,60209.76953125,60477.5390625,60021.8984375,60451.640625,0
2026-06-27 08:00:00+00:00,60451.6484375,60451.6484375,60103.98828125,60264.73046875,0
2026-06-27 12:00:00+00:00,60258.890625,60837.8203125,60153.98046875,60740.03125,0
2026-06-27 16:00:00+00:00,60741.0,60741.05078125,59982.44921875,60077.6484375,0
2026-06-27 20:00:00+00:00,60084.8984375,60378.4609375,59785.48828125,59934.83984375,444544000
2026-06-28 00:00:00+00:00,59934.83984375,60248.328125,59905.69921875,60105.91015625,761040896
2026-06-28 04:00:00+00:00,60107.96875,60173.78125,59688.359375,60132.0,912363520
2026-06-28 08:00:00+00:00,60127.83984375,60428.87890625,59982.12109375,60251.96875,738211840
2026-06-28 12:00:00+00:00,60251.9609375,60329.4296875,59739.3984375,59802.48828125,1134068736
2026-06-28 16:00:00+00:00,59807.03125,59853.6015625,59185.05078125,59391.66015625,1202965504
2026-06-28 20:00:00+00:00,59382.12890625,59796.0,58852.0,59472.30078125,1159483392
2026-06-29 00:00:00+00:00,59478.7890625,60092.28125,58830.0,59942.828125,2328333312
2026-06-29 04:00:00+00:00,59948.4609375,60229.76953125,59290.5390625,59932.609375,1281597440
2026-06-29 08:00:00+00:00,59929.6484375,60219.8515625,59644.8984375,59870.91015625,1803661312
2026-06-29 12:00:00+00:00,59895.21875,60687.30078125,58899.37890625,59705.76171875,8270800896
2026-06-29 16:00:00+00:00,59716.0390625,60570.46875,59471.98828125,60331.28125,2225633280
2026-06-29 20:00:00+00:00,60327.140625,60490.80078125,60116.2890625,60161.5390625,110905344
2026-06-30 00:00:00+00:00,60152.37109375,60180.01171875,59488.0,59515.140625,239460352
2026-06-30 04:00:00+00:00,59502.98828125,59616.21875,59252.890625,59430.01171875,1420466176
2026-06-30 08:00:00+00:00,59427.01171875,59456.6796875,59016.73828125,59076.8203125,1583392768
2026-06-30 12:00:00+00:00,59075.6484375,59159.140625,58076.8984375,58267.41015625,658939904
2026-06-30 16:00:00+00:00,58273.6015625,58736.109375,58146.48828125,58726.3515625,977960960
2026-06-30 20:00:00+00:00,58671.4609375,58785.73828125,58411.76953125,58523.9296875,774817792
2026-07-01 00:00:00+00:00,58541.55078125,59206.12109375,57720.73046875,59101.48828125,2696314880
2026-07-01 04:00:00+00:00,59096.26953125,59357.75,58446.1484375,58686.91015625,0
2026-07-01 08:00:00+00:00,58680.8984375,58990.0390625,58419.8984375,58536.73828125,527294464
2026-07-01 12:00:00+00:00,58558.5,60472.01953125,58253.23046875,60087.69921875,2717853696
2026-07-01 16:00:00+00:00,60104.0,60282.75,59720.0,59965.1796875,272224256
2026-07-01 20:00:00+00:00,59992.19921875,61248.01171875,59803.640625,59963.44140625,3363966976
2026-07-02 00:00:00+00:00,59950.48828125,61042.421875,59521.75,60985.76953125,1801224192
2026-07-02 04:00:00+00:00,60979.19140625,60980.55078125,60026.37109375,60058.91015625,3359539200
2026-07-02 08:00:00+00:00,60064.01171875,61330.01171875,60043.94921875,61287.37890625,3132981248
2026-07-02 12:00:00+00:00,61228.21875,62128.671875,61085.51171875,61540.359375,1525530624
